Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Water_Intake,Daily_Steps,Disease_Prediction
Lion,Exotic,6,Male,131.7 kg,Nasal Discharge,Lameness,Skin Lesions,Vomiting,10 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,41.8°C,89,3.4 L,421,Heat Stress
Lion,Exotic,3,Female,194.8 kg,Labored Breathing,Appetite Loss,Lameness,Coughing,1 week,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.7°C,61,8.6 L,3034,Bacterial Pneumonia
Lion,Exotic,8,Male,162.2 kg,Sneezing,Appetite Loss,Vomiting,Lethargy,4 days,Yes,Yes,Yes,No,No,No,No,No,No,40.9°C,77,7.0 L,3848,Bacterial Pneumonia
Lion,Exotic,12,Female,173.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,49,17.3 L,8206,Healthy
Lion,Exotic,11,Male,206.3 kg,Eye Discharge,Vomiting,Diarrhea,Appetite Loss,10 days,Yes,Yes,Yes,No,Yes,No,No,No,Yes,39.4°C,69,1.5 L,3504,Heat Stress
Lion,Exotic,22,Female,239.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.3°C,41,16.8 L,6160,Healthy
Lion,Exotic,17,Male,210.6 kg,Vomiting,Sneezing,Appetite Loss,Weakness,2 weeks,Yes,Yes,No,No,No,No,No,No,No,42.0°C,71,4.5 L,3638,Viral Infection
Lion,Exotic,16,Female,146.6 kg,Appetite Loss,Lameness,Coughing,Lethargy,2 days,Yes,No,Yes,Yes,No,Yes,No,Yes,No,40.2°C,65,6.1 L,1779,Fungal Dermatitis
Lion,Exotic,6,Male,166.9 kg,Fever,Coughing,Weight Loss,Weakness,2 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.8°C,52,2.3 L,1067,Heat Stress
Lion,Exotic,1,Female,142.9 kg,Eye Discharge,Coughing,Dehydration,Nasal Discharge,2 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,41.7°C,54,9.6 L,425,Fungal Dermatitis
Lion,Exotic,24,Male,174.0 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.4°C,41,14.3 L,6411,Healthy
Lion,Exotic,24,Male,179.6 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.6°C,41,19.2 L,8233,Healthy
Lion,Exotic,20,Male,236.2 kg,Nasal Discharge,Dehydration,Appetite Loss,Weakness,10 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.9°C,55,2.6 L,2848,Nutritional Deficiency
Lion,Exotic,21,Male,189.5 kg,Sneezing,Lameness,Skin Lesions,Dehydration,2 weeks,No,Yes,Yes,No,No,Yes,Yes,No,No,39.6°C,60,8.4 L,1738,Fungal Dermatitis
Lion,Exotic,5,Female,233.4 kg,Lameness,Diarrhea,Labored Breathing,Skin Lesions,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,39.5°C,65,2.1 L,535,Nutritional Deficiency
Lion,Exotic,14,Male,126.7 kg,Weakness,Fever,Dehydration,Appetite Loss,1 week,Yes,No,Yes,No,No,No,No,No,Yes,40.5°C,51,2.1 L,3963,Heat Stress
Lion,Exotic,15,Female,159.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,40,11.7 L,7615,Healthy
Lion,Exotic,6,Female,194.2 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,46,11.9 L,7187,Healthy
Lion,Exotic,17,Male,200.0 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,40,19.4 L,9624,Healthy
Lion,Exotic,13,Male,188.8 kg,Dehydration,Fever,Coughing,Labored Breathing,10 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,41.5°C,55,9.7 L,2292,Fungal Dermatitis
Lion,Exotic,22,Male,162.7 kg,Labored Breathing,Weight Loss,Dehydration,Vomiting,2 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.4°C,51,6.3 L,861,Fungal Dermatitis
Lion,Exotic,21,Female,108.2 kg,Eye Discharge,Weight Loss,Fever,Appetite Loss,2 days,Yes,No,No,Yes,No,No,No,No,Yes,39.0°C,71,2.7 L,661,Heat Stress
Lion,Exotic,19,Female,182.2 kg,Weakness,Sneezing,Labored Breathing,Nasal Discharge,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.9°C,55,2.1 L,1268,Parasitic Gastritis
Lion,Exotic,1,Male,172.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.7°C,40,17.2 L,8358,Healthy
Lion,Exotic,8,Male,193.2 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,46,19.7 L,7435,Healthy
Lion,Exotic,7,Male,180.2 kg,Labored Breathing,Sneezing,Fever,Appetite Loss,4 days,Yes,Yes,Yes,No,Yes,No,No,No,No,39.9°C,79,6.1 L,2224,Viral Infection
Lion,Exotic,23,Male,187.6 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.3°C,48,14.5 L,9260,Healthy
Lion,Exotic,24,Male,115.7 kg,Appetite Loss,Skin Lesions,Labored Breathing,Fever,4 days,Yes,No,No,No,Yes,No,Yes,No,Yes,41.0°C,88,7.9 L,1895,Nutritional Deficiency
Lion,Exotic,2,Female,134.9 kg,Labored Breathing,Coughing,Sneezing,Nasal Discharge,10 days,No,Yes,No,Yes,Yes,No,No,Yes,No,41.9°C,57,8.1 L,1278,Nutritional Deficiency
Lion,Exotic,7,Male,169.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,43,11.2 L,9574,Healthy
Lion,Exotic,23,Male,154.4 kg,Coughing,Dehydration,Diarrhea,Lethargy,4 days,Yes,No,Yes,Yes,No,No,No,Yes,No,39.4°C,84,2.3 L,1617,Bacterial Pneumonia
Lion,Exotic,20,Female,115.1 kg,Lameness,Labored Breathing,Weakness,Weight Loss,4 days,Yes,No,No,Yes,Yes,Yes,No,No,Yes,41.5°C,58,2.0 L,3426,Bacterial Pneumonia
Lion,Exotic,21,Male,189.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.3°C,43,13.7 L,8926,Healthy
Lion,Exotic,6,Male,159.4 kg,Skin Lesions,Diarrhea,Lethargy,Nasal Discharge,10 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5°C,53,8.4 L,2213,Nutritional Deficiency
Lion,Exotic,1,Male,190.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.0°C,45,15.6 L,8163,Healthy
Lion,Exotic,10,Female,233.1 kg,Dehydration,Weakness,Appetite Loss,Vomiting,2 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.6°C,71,2.9 L,1957,Bacterial Pneumonia
Lion,Exotic,10,Male,179.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.0°C,45,11.6 L,7506,Healthy
Lion,Exotic,17,Female,161.6 kg,Fever,Diarrhea,Sneezing,Coughing,1 week,Yes,No,Yes,Yes,No,No,No,No,No,41.7°C,85,4.9 L,938,Parasitic Gastritis
Lion,Exotic,16,Female,198.7 kg,Diarrhea,Lethargy,Labored Breathing,Vomiting,4 days,No,Yes,Yes,Yes,Yes,No,No,Yes,No,39.4°C,56,4.5 L,3497,Heat Stress
Lion,Exotic,12,Male,166.6 kg,Appetite Loss,Weakness,Sneezing,Lameness,2 weeks,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,41.7°C,82,1.7 L,1988,Viral Infection
Lion,Exotic,15,Male,154.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.6°C,42,11.3 L,8757,Healthy
Lion,Exotic,16,Male,207.6 kg,Diarrhea,Fever,Lethargy,Dehydration,2 weeks,Yes,No,Yes,No,No,No,No,No,Yes,40.6°C,50,9.8 L,1448,Viral Infection
Lion,Exotic,17,Male,218.9 kg,Eye Discharge,Weight Loss,Fever,Weakness,4 days,Yes,No,No,No,No,No,No,No,Yes,41.2°C,76,6.8 L,1397,Heat Stress
Lion,Exotic,13,Male,212.8 kg,Fever,Eye Discharge,Nasal Discharge,Appetite Loss,1 week,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,41.0°C,70,8.0 L,1775,Fungal Dermatitis
Lion,Exotic,1,Female,234.3 kg,Diarrhea,Weight Loss,Appetite Loss,Lethargy,2 days,Yes,No,Yes,No,No,No,No,No,Yes,40.6°C,78,6.5 L,3197,Parasitic Gastritis
Lion,Exotic,4,Male,191.3 kg,Vomiting,Diarrhea,Dehydration,Fever,2 weeks,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.4°C,79,5.6 L,1731,Nutritional Deficiency
Lion,Exotic,17,Female,130.2 kg,Weight Loss,Eye Discharge,Appetite Loss,Labored Breathing,4 days,Yes,No,No,No,Yes,No,No,No,Yes,40.5°C,51,1.9 L,2621,Parasitic Gastritis
Lion,Exotic,17,Female,232.5 kg,Lethargy,Coughing,Weakness,Diarrhea,3 weeks,Yes,No,Yes,Yes,Yes,No,No,Yes,No,41.9°C,72,1.8 L,293,Bacterial Pneumonia
Lion,Exotic,1,Female,127.6 kg,Weight Loss,Labored Breathing,Sneezing,Dehydration,10 days,No,No,No,No,Yes,No,Yes,Yes,No,40.8°C,54,7.4 L,3716,Nutritional Deficiency
Lion,Exotic,13,Male,187.3 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,45,18.3 L,7207,Healthy
Lion,Exotic,23,Female,211.7 kg,Sneezing,Vomiting,Weight Loss,Appetite Loss,1 week,Yes,Yes,No,No,No,No,No,No,Yes,41.1°C,60,6.9 L,1156,Viral Infection
Lion,Exotic,14,Male,238.2 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,46,13.8 L,6264,Healthy
Lion,Exotic,10,Female,161.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,43,18.6 L,6711,Healthy
Lion,Exotic,8,Female,238.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.7°C,40,18.9 L,8568,Healthy
Lion,Exotic,22,Male,110.7 kg,Lethargy,Sneezing,Labored Breathing,Lameness,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.3°C,62,7.6 L,2174,Fungal Dermatitis
Lion,Exotic,18,Female,197.6 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,43,18.7 L,9208,Healthy
Lion,Exotic,24,Male,150.8 kg,Sneezing,Lameness,Lethargy,Vomiting,10 days,Yes,Yes,No,Yes,Yes,Yes,No,No,No,41.3°C,73,8.6 L,854,Heat Stress
Lion,Exotic,1,Male,202.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.8°C,43,12.4 L,9212,Healthy
Lion,Exotic,1,Male,193.8 kg,Weakness,Fever,Appetite Loss,Nasal Discharge,1 week,Yes,No,No,No,No,No,No,Yes,No,39.0°C,83,8.6 L,2030,Fungal Dermatitis
Lion,Exotic,6,Female,123.4 kg,Weight Loss,Fever,Lethargy,Weakness,10 days,No,No,No,No,Yes,Yes,No,Yes,Yes,41.3°C,59,8.1 L,734,Fungal Dermatitis
Lion,Exotic,10,Female,157.4 kg,Weight Loss,Appetite Loss,Eye Discharge,Lethargy,2 weeks,Yes,No,Yes,No,No,Yes,No,Yes,Yes,41.0°C,68,9.5 L,2259,Viral Infection
Lion,Exotic,5,Male,230.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.4°C,47,13.3 L,6911,Healthy
Lion,Exotic,3,Male,151.0 kg,Eye Discharge,Sneezing,Appetite Loss,Nasal Discharge,3 weeks,Yes,No,Yes,Yes,No,No,No,Yes,Yes,39.7°C,84,9.5 L,2059,Parasitic Gastritis
Lion,Exotic,21,Female,180.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.9°C,49,13.1 L,9650,Healthy
Lion,Exotic,23,Male,154.4 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.0°C,41,11.0 L,7202,Healthy
Lion,Exotic,20,Male,187.1 kg,Lethargy,Eye Discharge,Coughing,Weight Loss,2 days,Yes,No,No,Yes,No,No,No,No,Yes,40.1°C,76,9.6 L,2609,Viral Infection
Lion,Exotic,23,Female,244.8 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,45,14.9 L,7795,Healthy
Lion,Exotic,4,Male,155.9 kg,Nasal Discharge,Lethargy,Diarrhea,Eye Discharge,10 days,Yes,No,Yes,No,No,No,No,Yes,Yes,41.4°C,72,8.0 L,2489,Bacterial Pneumonia
Lion,Exotic,11,Male,205.3 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,46,10.8 L,6395,Healthy
Lion,Exotic,2,Male,142.4 kg,Coughing,Dehydration,Eye Discharge,Labored Breathing,3 weeks,Yes,No,Yes,Yes,Yes,No,No,No,Yes,41.3°C,88,9.9 L,829,Viral Infection
Lion,Exotic,6,Female,233.3 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.6°C,48,11.0 L,9172,Healthy
Lion,Exotic,8,Male,148.6 kg,Fever,Sneezing,Vomiting,Lameness,4 days,Yes,Yes,Yes,Yes,No,Yes,No,No,No,40.3°C,64,7.4 L,2039,Heat Stress
Lion,Exotic,2,Male,148.0 kg,Labored Breathing,Skin Lesions,Weight Loss,Lethargy,10 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,41.7°C,87,2.9 L,3476,Viral Infection
Lion,Exotic,8,Male,166.1 kg,Sneezing,Weight Loss,Dehydration,Fever,2 days,Yes,Yes,No,No,No,No,No,No,Yes,39.1°C,83,6.8 L,3270,Nutritional Deficiency
Lion,Exotic,10,Female,189.2 kg,Diarrhea,Fever,Sneezing,Lethargy,3 weeks,Yes,No,Yes,No,No,No,Yes,Yes,Yes,40.7°C,73,4.2 L,1983,Heat Stress
Lion,Exotic,21,Male,106.1 kg,Dehydration,Skin Lesions,Eye Discharge,Labored Breathing,10 days,Yes,No,No,No,Yes,No,Yes,No,Yes,40.2°C,83,6.7 L,1781,Parasitic Gastritis
Lion,Exotic,13,Female,203.3 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.4°C,45,11.2 L,7576,Healthy
Lion,Exotic,16,Female,158.0 kg,Diarrhea,Nasal Discharge,Lameness,Lethargy,1 week,Yes,Yes,Yes,No,No,Yes,No,Yes,No,39.1°C,70,2.5 L,543,Viral Infection
Lion,Exotic,7,Male,142.9 kg,Coughing,Fever,Sneezing,Diarrhea,2 days,No,No,Yes,Yes,No,No,No,No,Yes,39.8°C,55,7.8 L,1548,Viral Infection
Lion,Exotic,12,Male,198.5 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,43,15.0 L,5969,Healthy
Lion,Exotic,8,Female,186.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,44,17.3 L,8899,Healthy
Lion,Exotic,13,Female,196.2 kg,Coughing,Nasal Discharge,Appetite Loss,Dehydration,2 weeks,Yes,No,Yes,Yes,No,No,No,Yes,No,39.0°C,56,9.3 L,773,Bacterial Pneumonia
Lion,Exotic,4,Female,215.6 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.9°C,49,14.7 L,8282,Healthy
Lion,Exotic,23,Female,150.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.1°C,47,14.3 L,5226,Healthy
Lion,Exotic,10,Female,112.2 kg,Vomiting,Diarrhea,Eye Discharge,Fever,3 weeks,Yes,Yes,Yes,No,No,No,Yes,No,Yes,39.5°C,63,6.0 L,587,Nutritional Deficiency
Lion,Exotic,4,Male,243.6 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.5°C,41,19.9 L,6408,Healthy
Lion,Exotic,10,Female,242.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,47,18.3 L,8477,Healthy
Lion,Exotic,6,Male,149.1 kg,Labored Breathing,Dehydration,Lethargy,Sneezing,2 weeks,Yes,No,No,No,Yes,No,No,No,No,39.6°C,59,2.0 L,836,Heat Stress
Lion,Exotic,13,Female,206.7 kg,Coughing,Labored Breathing,Nasal Discharge,Fever,1 week,Yes,No,Yes,Yes,Yes,No,No,Yes,No,40.4°C,56,7.0 L,2195,Fungal Dermatitis
Lion,Exotic,7,Male,166.5 kg,Weakness,Sneezing,Lethargy,Eye Discharge,3 weeks,Yes,No,Yes,No,No,Yes,No,Yes,Yes,40.4°C,50,9.9 L,2802,Viral Infection
Lion,Exotic,20,Male,181.1 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.8°C,45,18.2 L,5560,Healthy
Lion,Exotic,15,Female,218.0 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.3°C,47,18.0 L,8957,Healthy
Lion,Exotic,21,Female,108.7 kg,Sneezing,Lameness,Weight Loss,Eye Discharge,2 weeks,Yes,No,No,No,No,Yes,Yes,No,Yes,41.8°C,62,2.0 L,1761,Heat Stress
Lion,Exotic,24,Female,139.1 kg,Weight Loss,Coughing,Lethargy,Labored Breathing,3 weeks,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,39.3°C,53,5.0 L,3319,Nutritional Deficiency
Lion,Exotic,5,Male,132.7 kg,Dehydration,Fever,Vomiting,Appetite Loss,10 days,Yes,Yes,Yes,No,No,No,No,No,No,40.9°C,60,9.3 L,3270,Parasitic Gastritis
Lion,Exotic,4,Female,225.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.4°C,44,13.1 L,8018,Healthy
Lion,Exotic,19,Female,210.0 kg,Coughing,Sneezing,Lethargy,Vomiting,4 days,Yes,Yes,No,Yes,No,No,No,No,No,39.4°C,51,5.0 L,520,Viral Infection
Lion,Exotic,6,Male,223.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.9°C,44,13.2 L,6415,Healthy
Lion,Exotic,7,Female,138.5 kg,Weakness,Skin Lesions,Eye Discharge,Vomiting,2 weeks,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,41.3°C,58,3.9 L,798,Bacterial Pneumonia
Lion,Exotic,15,Male,190.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.2°C,47,14.0 L,7056,Healthy
Lion,Exotic,20,Male,108.4 kg,Labored Breathing,Nasal Discharge,Appetite Loss,Weight Loss,3 weeks,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,39.6°C,73,4.3 L,1888,Heat Stress
Lion,Exotic,3,Male,159.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.3°C,40,12.6 L,5205,Healthy
Lion,Exotic,9,Male,126.5 kg,Lameness,Nasal Discharge,Coughing,Weakness,2 days,No,No,No,Yes,Yes,Yes,Yes,Yes,No,41.5°C,65,4.0 L,1955,Heat Stress
Lion,Exotic,4,Female,159.9 kg,None,None,None,None,None,No,No,No,No,No,No,No,No,No,38.7°C,42,19.1 L,8744,Healthy
Lion,Exotic,24,Female,122.7 kg,Eye Discharge,Weight Loss,Nasal Discharge,Skin Lesions,2 weeks,No,No,No,No,No,No,Yes,Yes,Yes,41.7°C,89,6.4 L,678,Viral Infection
Lion,Exotic,15,Female,222.8 kg,Dehydration,Weakness,Skin Lesions,Labored Breathing,3 weeks,Yes,No,No,No,Yes,Yes,Yes,No,No,39.6°C,83,9.0 L,3596,Heat Stress
Lion,Exotic,1,Female,127.2 kg,Weight Loss,Lethargy,Dehydration,Vomiting,2 days,No,Yes,No,No,No,No,No,No,No,41.0°C,73,1.2 L,3961,Fungal Dermatitis
